start_time,close,datetime,high,low,open,volume
1613800800000,2027.89,2021-02-20 06:00:00,2034.0,2010.99,2014.44,38278.89331
1613804400000,1984.73,2021-02-20 07:00:00,2029.5,1980.0,2027.82,53359.88158
1613808000000,1990.98,2021-02-20 08:00:00,2012.0,1984.8,1984.8,37710.54838
1613811600000,2003.3,2021-02-20 09:00:00,2012.52,1990.15,1991.21,41540.46675
1613815200000,2003.78,2021-02-20 10:00:00,2008.37,1993.47,2002.96,27555.09178
1613818800000,1999.58,2021-02-20 11:00:00,2013.54,1995.0,2003.89,34127.36692
1613822400000,2024.21,2021-02-20 12:00:00,2032.0,1997.33,1999.57,61229.7723
1613826000000,2028.82,2021-02-20 13:00:00,2036.9,2018.0,2024.21,38189.00802
1613829600000,1988.99,2021-02-20 14:00:00,2034.8,1981.89,2028.8,54707.22064
1613833200000,1978.79,2021-02-20 15:00:00,2006.69,1959.07,1988.99,82372.55398
1613836800000,2001.93,2021-02-20 16:00:00,2006.11,1975.52,1978.69,50126.73774
1613840400000,1996.58,2021-02-20 17:00:00,2022.0,1988.74,2001.93,36287.45682
1613844000000,1996.22,2021-02-20 18:00:00,2001.97,1988.7,1996.59,20461.49254
1613847600000,1992.56,2021-02-20 19:00:00,2002.96,1980.24,1996.23,25945.18275
1613851200000,1986.28,2021-02-20 20:00:00,1994.67,1962.14,1992.56,33716.80971
1613854800000,1963.79,2021-02-20 21:00:00,1986.29,1950.39,1986.29,38946.01498
1613858400000,1894.23,2021-02-20 22:00:00,1964.7,1803.14,1964.01,135758.71166
1613862000000,1913.0,2021-02-20 23:00:00,1926.69,1885.4,1894.01,92976.92946
1613865600000,1918.06,2021-02-21 00:00:00,1924.63,1883.01,1912.9,60844.49594
1613869200000,1937.31,2021-02-21 01:00:00,1937.32,1911.57,1918.05,35332.65211
1613872800000,1936.79,2021-02-21 02:00:00,1956.0,1933.01,1937.32,32756.5693
1613876400000,1933.71,2021-02-21 03:00:00,1954.82,1927.57,1936.97,28010.02744
1613880000000,1943.89,2021-02-21 04:00:00,1946.89,1920.0,1933.71,29745.65465
1613883600000,1943.72,2021-02-21 05:00:00,1953.76,1934.18,1943.88,25009.66445
1613887200000,1940.65,2021-02-21 06:00:00,1945.52,1925.72,1943.63,24308.03243
1613890800000,1912.69,2021-02-21 07:00:00,1946.24,1905.05,1940.64,35343.7094
1613894400000,1936.95,2021-02-21 08:00:00,1945.0,1900.19,1913.08,37978.05623
1613898000000,1940.08,2021-02-21 09:00:00,1942.92,1928.22,1936.94,25425.07088
1613901600000,1971.19,2021-02-21 10:00:00,1974.19,1937.75,1940.08,46355.74735
1613905200000,1961.62,2021-02-21 11:00:00,1975.32,1959.21,1971.59,26938.8446
1613908800000,1941.93,2021-02-21 12:00:00,1967.5,1936.53,1961.62,42693.14779
1613912400000,1947.92,2021-02-21 13:00:00,1954.9,1941.92,1941.92,21979.08798
